,Unnamed: 0,person_scene,series_num,num_lines,num_words
695,695,Leonard,Series 01,3,25
696,696,Sheldon,Series 01,4,43
697,697,Raj,Series 01,1,4
698,698,Howard,Series 01,2,26
700,700,instructor,Series 01,5,16
701,701,Leonard),Series 01,3,20
703,703,Sheldon,Series 01,1,3
704,704,(singing),Series 01,2,17
705,705,Sheldon,Series 01,2,28
706,706,Leonard,Series 01,3,30
707,707,Sheldon,Series 01,1,4
708,708,Leonard,Series 01,2,17
709,709,Sheldon,Series 01,1,18
710,710,Leonard,Series 01,1,9
711,711,Sheldon,Series 01,2,9
712,712,Leonard,Series 01,3,15
713,713,Sheldon,Series 01,4,67
714,714,Leonard,Series 01,2,14
715,715,Sheldon,Series 01,4,16
716,716,Leonard,Series 01,3,14
717,717,Sheldon,Series 01,2,7
719,719,door),Series 01,1,3
720,720,Leonard,Series 01,2,16
721,721,Penny,Series 01,1,6
722,722,Leonard,Series 01,2,32
723,723,Penny,Series 01,1,1
724,724,Leonard,Series 01,2,15
725,725,Penny,Series 01,1,5
726,726,Leonard,Series 01,1,2
727,727,Penny,Series 01,1,8
728,728,Leonard,Series 01,1,2
729,729,Penny,Series 01,1,9
730,730,Leonard,Series 01,3,49
731,731,Penny,Series 01,1,6
732,732,Leonard,Series 01,2,6
733,733,Penny,Series 01,1,2
734,734,Leonard,Series 01,1,7
735,735,Penny,Series 01,1,3
736,736,Leonard,Series 01,1,7
737,737,Penny,Series 01,1,5
738,738,Leonard,Series 01,1,5
739,739,Penny,Series 01,1,1
740,740,Leonard,Series 01,1,10
742,742,Leonard,Series 01,1,4
743,743,Sheldon,Series 01,1,5
744,744,Leonard,Series 01,1,8
745,745,Sheldon,Series 01,3,17
746,746,Leonard,Series 01,2,2
747,747,Sheldon,Series 01,2,18
748,748,Leonard,Series 01,1,4
749,749,Sheldon,Series 01,2,7
750,750,Leonard,Series 01,2,25
751,751,Sheldon,Series 01,1,5
752,752,Leonard,Series 01,3,14
753,753,Sheldon,Series 01,1,26
754,754,Leonard,Series 01,1,10
755,755,Sheldon,Series 01,1,39
756,756,Leonard,Series 01,1,9
757,757,Sheldon,Series 01,2,7
758,758,Leonard,Series 01,3,104
759,759,Sheldon,Series 01,1,5
760,760,Leonard,Series 01,1,6
761,761,Sheldon,Series 01,1,6
762,762,Leonard,Series 01,1,22
763,763,Sheldon,Series 01,1,13
764,764,Leonard,Series 01,1,1
765,765,Sheldon,Series 01,1,3
766,766,Leonard,Series 01,1,1
767,767,Sheldon,Series 01,1,8
768,768,Leonard,Series 01,1,1
769,769,Sheldon,Series 01,1,45
770,770,Leonard,Series 01,1,18
771,771,Sheldon,Series 01,1,1
772,772,Leonard,Series 01,1,1
773,773,Sheldon,Series 01,1,5
774,774,Leonard,Series 01,2,9
775,775,Sheldon,Series 01,1,1
776,776,Leonard,Series 01,1,41
777,777,Sheldon,Series 01,3,25
778,778,Leonard,Series 01,2,4
779,779,Sheldon,Series 01,1,7
780,780,Leonard,Series 01,1,15
781,781,Sheldon,Series 01,1,6
782,782,Leonard,Series 01,1,12
784,784,Penny,Series 01,1,10
785,785,Leonard,Series 01,3,25
786,786,Penny,Series 01,1,7
787,787,Leonard,Series 01,2,12
788,788,Penny,Series 01,1,1
789,789,Leonard,Series 01,2,16
790,790,Penny,Series 01,1,9
791,791,Leonard,Series 01,1,1
792,792,Penny,Series 01,1,2
793,793,Leonard,Series 01,1,35
794,794,Penny,Series 01,3,9
795,795,Leonard,Series 01,1,7
796,796,Penny,Series 01,3,16
797,797,Leonard,Series 01,3,9
798,798,Penny,Series 01,1,15
799,799,Waitress,Series 01,1,8
800,800,Leonard,Series 01,1,8
801,801,Penny,Series 01,1,5
802,802,Leonard,Series 01,2,14
803,803,Penny,Series 01,2,28
804,804,Leonard,Series 01,1,9
